OBJECTID,AxeBrue_IDB_merged_140219_Snapped_OBJECTID,AxeBrue_IDB_merged_140219_Snapped_Water_leve,AxeBrue_IDB_merged_140219_Snapped_Owned_by,AxeBrue_IDB_merged_140219_Snapped_Operated_b,AxeBrue_IDB_merged_140219_Snapped_Watercours,AxeBrue_IDB_merged_140219_Snapped_Descriptio,AxeBrue_IDB_merged_140219_Snapped_X,AxeBrue_IDB_merged_140219_Snapped_Y,AxeBrue_IDB_merged_140219_Snapped_Lat,AxeBrue_IDB_merged_140219_Snapped_Long_,AxeBrue_IDB_merged_140219_Snapped_Source,AxeBrue_IDB_merged_140219_Snapped_Enabled,AxeBrue_IDB_merged_140219_Snapped_NEAR_FID,AxeBrue_IDB_merged_140219_Snapped_NEAR_DIST,AxeBrue_IDB_merged_140219_Snapped_NEAR_X,AxeBrue_IDB_merged_140219_Snapped_NEAR_Y,AxeBrue_IDB_merged_140219_Snapped_Dimensions,AxeBrue_IDB_merged_140219_Snapped_FID_1,AxeBrue_IDB_merged_140219_Snapped_Structure,AxeBrue_IDB_merged_140219_Snapped_structure_,AxeBrue_IDB_merged_140219_Snapped_Count_,AxeBrue_IDB_merged_140219_Snapped_AncillaryR,AxeBrue_IDB_merged_140219_Snapped_AncillaryRole,AxeBrue_IDB_merged_140219_Snapped_SnapDist,AxeBrue_IDB_merged_140219_Snapped_ForcedMove,AxeBrue_IDB_merged_140219_Snapped_SnapQual,AxeBrue_IDB_merged_140219_Snapped_SrchName,AxeBrueIDB_Sum_Output_OBJECTID,AxeBrueIDB_Sum_Output_FREQUENCY,AxeBrueIDB_Sum_Output_SiteID,DistFromLn,DistAlngLn,SiteID,FREQUENCY,OID_1,Object,SnapDist,ForcedMove,SnapQual,SrchName,US_Accum3,USLength,SUM_USLength,AvailUSNet
94,94,Moggs Rhyne Godney Outfall,UB IDB,UB IDB,Moggs Rhyne Godney Division Rhyne,Culverted outfall,348220,142090,51.175689,-2.7420904,North Drain,1,1069,2.662270119,348220.5902,142087.404,Headwall on culvert outfall.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,92,7,94,2.69276E-05,0.513089299,94,2,,94,0,N,"Nearest Polyline, no name check",n/a,25173.20898,23368.29297,0,23368.29297
63,63,Ham Boards,EA,EA / Farmer,Decoy Rhyne,weir.,346960,142820,51.182137,-2.760221,North Drain,1,1129,2.988026455,346961.8703,142822.3303,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,63,7,63,3.02525E-06,0.998560369,63,1,,63,0,N,"Nearest Polyline, no name check",n/a,22317.65625,22314.50391,0,22314.50391
265,265,,,,,,346384,142034,,,AxeBrueIDB_structures+N,1,139,0.022409394,346384.021,142034.0079,,161,UB16,Tilting Weir,1,,,0,N,"Nearest Polyline, no name check",n/a,257,4,265,2.73996E-05,0.00934521,265,1,,265,0,N,"Nearest Polyline, no name check",n/a,22776.81836,21478.58008,0,21478.58008
40,40,Manor Farm Weir,Riparian Owner,Riparian Owner,River Brue,Fixed weir,345490,141840,0,51.173187,South Drain,1,1136,71.31906066,345830.1158,142025.4692,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,40,7,40,2.70006E-05,0.408611059,40,1,,40,0,N,"Nearest Polyline, no name check",n/a,21313.60547,20879.18945,0,20879.18945
41,41,Turnbridge Penning Bay,Riparian Owner,Riparian Owner,River Brue,Redundant,346550,141260,0,51.168073,South Drain,1,1136,71.31906066,345830.1158,142025.4692,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,41,7,41,2.70006E-05,0.408611059,41,1,,41,0,N,"Nearest Polyline, no name check",n/a,21313.60547,20879.18945,0,20879.18945
42,42,River Farm Weir,Riparian Owner,Riparian Owner,River Brue,Fixed weir,345880,141760,0,51.172505,South Drain,1,1136,71.31906066,345830.1158,142025.4692,,,,,,,,0,N,"Nearest Polyline, no name check",n/a,42,7,42,2.70006E-05,0.408611059,42,1,,42,0,N,"Nearest Polyline, no name check",n/a,21313.60547,20879.18945,0,20879.18945
64,64,James Boards,EA,EA / Farmer,James Wear River,Penning boards,345510,142480,51.178944,-2.7809123,North Drain,1,981,5.506475895,345507.9845,142485.1244,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,64,7,64,3.98457E-05,0.558683813,64,1,,64,0,N,"Nearest Polyline, no name check",n/a,20776.80078,20487.83398,0,20487.83398
373,373,,,,,,340942,141062,,,AxeBrueIDB_structures+N,1,286,98.4928163,341036.2061,141033.259,,269,XC06,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a,362,6,373,2.55986E-06,0.501258492,373,1,,373,0,N,"Nearest Polyline, no name check",n/a,20225.53711,19389.125,0,19389.125
141,141,,,,,,340750,139998,,,AxeBrueIDB_structures+N,1,22,0.43435816,340750.4062,139997.8463,,37,C05,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,139,6,141,5.16681E-05,0.986626983,141,1,,141,0,N,"Nearest Polyline, no name check",n/a,18788.24609,18785.03906,0,18785.03906
431,431,,,,,,340852,140217,,,AxeBrueIDB_structures+N,1,389,0.184284279,340851.9655,140216.819,,327,UB107,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,420,6,431,2.56286E-05,0.028338373,431,1,,431,0,N,"Nearest Polyline, no name check",n/a,19590.25391,18578.01367,0,18578.01367
247,247,,,,,,343863,151500,,,AxeBrueIDB_structures+N,1,1121,0.390909453,343863.3804,151500.0902,,143,UA27,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,239,1,247,3.83675E-05,0.029721569,247,1,,247,0,N,"Nearest Polyline, no name check",n/a,19679.55273,18206.30859,0,18206.30859
240,240,,,,,,343500,151761,,,AxeBrueIDB_structures+N,1,952,8.525175674,343494.0841,151754.8615,,136,UA20,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,232,1,240,2.55001E-05,0.555346906,240,5,,240,0,N,"Nearest Polyline, no name check",n/a,18099.25195,17665.05078,0,17665.05078
