Filename,Contributor,Link,Structures
AxeBrueIDB,Somerset Internal Drainage Board,https://www.arcgis.com/apps/View/index.html?appid=22497f115856472eb9e58fdba3023191,IDB watercourse and structure GI data.  
South Drain Perm,IDB South Drain Water Level Management Plan,http://www.somersetdrainageboards.gov.uk/media/South-Drain-WLMP-Brue-Approved-Apr-10.pdf,IDB and Environment Agency strutcure data
North Drain WLMP Winter and Summer Levels,IDB North Drain Water Level Management Plan,https://somersetdrainageboards.gov.uk/media/North-Drain-WLMP-Brue-Approved-Apr-10.pdf,IDB and Environment Agency strutcure data
