OBJECTID_12,OBJECTID,ObjectID_1,Water_leve,Grid_ref_,Owned_by,Operated_b,Watercours,Descriptio,X,Y,Lat,Long_,Source,Enabled,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,Dimensions,FID_1,Structure,structure_,Count_,AncillaryR,AncillaryRole,SnapDist,ForcedMove,SnapQual,SrchName
101,101,49,Westhay Moor Drove Hatch, ,UB IDB,UB IDB,Westhay Moor Drove Rhyne,Penning hatch,346640,143700,51.19002,-2.7649298,North Drain,1,416,3.422658454,346640.8819,143703.3071, ,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
102,102,50,Whites Drove Inlet, ,UB IDB,UB IDB,Whites Drove Rhyne,Feed hatch,346930,143620,51.189327,-2.7607686,North Drain,1,174,1.629262377,346929.5244,143618.4417, ,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
103,103,51,Waterleaze Inlet Boards, ,UB IDB,UB IDB,Waterleaze Rhyne,Tilting weir,348480,140330,51.159888,-2.7381188,North Drain,1,411,2.175076464,348481.1117,140331.8695, ,,,Tilting Weir,,,,0,N,"Nearest Polyline, no name check",n/a
104,104,,,,,,,,342315,154140,,,AxeBrueIDB_structures+N,1,103,0.912186313,342315.7365,154139.4619,,0,AX01,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
105,105,,,,,,,,342570,153357,,,AxeBrueIDB_structures+N,1,103,0.60575325,342569.4072,153357.1246,,1,AX02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
106,106,,,,,,,,340059,153992,,,AxeBrueIDB_structures+N,1,819,0.526040841,340058.5555,153991.7187,,2,AX03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
107,107,,,,,,,,341148,154551,,,AxeBrueIDB_structures+N,1,44,2.617027018,341150.1923,154549.5708,,3,AX04,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
108,108,,,,,,,,331426,150486,,,AxeBrueIDB_structures+N,1,308,1.346653808,331425.5713,150487.2766,,4,B02,Bund,0,,,0,N,"Nearest Polyline, no name check",n/a
109,109,,,,,,,,332668,147990,,,AxeBrueIDB_structures+N,1,72,2.034593557,332666.3172,147991.1436,,5,B03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
110,110,,,,,,,,332526,147135,,,AxeBrueIDB_structures+N,1,72,0.333313684,332526.2909,147134.8372,,6,B04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
111,111,,,,,,,,333046,147745,,,AxeBrueIDB_structures+N,1,226,6.975453497,333042.1844,147750.8394,,7,B05,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
112,112,,,,,,,,332845,147115,,,AxeBrueIDB_structures+N,1,340,4.050606857,332849.0475,147114.8406,,8,B06,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
113,113,,,,,,,,332263,148393,,,AxeBrueIDB_structures+N,1,313,4.567192326,332258.5722,148391.8803,,9,B07,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
114,114,,,,,,,,334294,147797,,,AxeBrueIDB_structures+N,1,59,0.760069668,334293.561,147797.6205,,10,B08,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
115,115,,,,,,,,332721,148254,,,AxeBrueIDB_structures+N,1,72,0.292302096,332721.1067,148254.2721,,11,B09,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
116,116,,,,,,,,332314,146946,,,AxeBrueIDB_structures+N,1,1072,3.881592896,332316.1675,146942.78,,12,B10,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a
117,117,,,,,,,,331391,150074,,,AxeBrueIDB_structures+N,1,132,0.570917752,331391.5585,150073.8816,,13,B11,Screen,0,,,0,N,"Nearest Polyline, no name check",n/a
118,118,,,,,,,,338699,151460,,,AxeBrueIDB_structures+N,1,391,0.285148115,338699.2062,151460.197,,14,BA01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
119,119,,,,,,,,337901,154873,,,AxeBrueIDB_structures+N,1,135,0.007246647,337901.0067,154872.9973,,15,BA02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
120,120,,,,,,,,338830,152340,,,AxeBrueIDB_structures+N,1,12,0.223256564,338830.1568,152340.159,,16,BA03,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
121,121,,,,,,,,338823,152333,,,AxeBrueIDB_structures+N,1,12,1.024955231,338823.7464,152332.2975,,17,BA04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
122,122,,,,,,,,330556,156260,,,AxeBrueIDB_structures+N,1,27,1.386031046,330557.386,156260.0136,,18,BB01,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
123,123,,,,,,,,330818,156012,,,AxeBrueIDB_structures+N,1,190,1.558962744,330819.5422,156012.228,,19,BB02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
124,124,,,,,,,,331654,155391,,,AxeBrueIDB_structures+N,1,66,23.7847457,331654.9763,155367.2353,,20,BB03,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
125,125,,,,,,,,331748,155350,,,AxeBrueIDB_structures+N,1,66,0.57569777,331747.7621,155349.4757,,21,BB04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
126,126,,,,,,,,331411,154785,,,AxeBrueIDB_structures+N,1,66,0.557572785,331411.1808,154784.4726,,22,BB05,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
127,127,,,,,,,,330292,153853,,,AxeBrueIDB_structures+N,1,281,0.864303562,330292.2695,153853.8212,,23,BB06,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
128,128,,,,,,,,330774,156147,,,AxeBrueIDB_structures+N,1,259,1.103456628,330774.6418,156147.8976,,24,BB07,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
129,129,,,,,,,,330703,150561,,,AxeBrueIDB_structures+N,1,124,1.290067067,330701.881,150561.6419,,25,BB08,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
130,130,,,,,,,,330019,152657,,,AxeBrueIDB_structures+N,1,414,2.084453225,330019.6226,152655.0107,,26,BB09,Flap valve,0,,,396.3739929,Y,"Nearest Polyline, no name check",n/a
131,131,,,,,,,,331766,155323,,,AxeBrueIDB_structures+N,1,102,0.090838971,331765.9174,155322.9623,,27,BK01,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
132,132,,,,,,,,331628,150629,,,AxeBrueIDB_structures+N,1,6,0.42464533,331628.295,150629.3054,,28,BK02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
133,133,,,,,,,,332850,155945,,,AxeBrueIDB_structures+N,1,50,1.068250227,332850.8059,155945.7012,,29,BL02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
134,134,,,,,,,,331457,156449,,,AxeBrueIDB_structures+N,1,50,1.49459691,331457.6807,156450.3306,,30,BL04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
135,135,,,,,,,,332409,156394,,,AxeBrueIDB_structures+N,1,358,4.464111803,332410.2358,156398.2896,,31,BL05,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
136,136,,,,,,,,333012,156652,,,AxeBrueIDB_structures+N,1,211,0.744961169,333011.2753,156651.8273,,32,BL06,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
137,137,,,,,,,,332992,156656,,,AxeBrueIDB_structures+N,1,57,1.649553688,332990.6725,156656.9792,,33,BL07,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
138,138,,,,,,,,331422,157006,,,AxeBrueIDB_structures+N,1,358,0.238909371,331421.7623,157005.9757,,34,BL09,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
139,139,,,,,,,,339182,140625,,,AxeBrueIDB_structures+N,1,1124,0.316919873,339182.0555,140625.312,,35,C01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
140,140,,,,,,,,337798,140908,,,AxeBrueIDB_structures+N,1,367,0.434885525,337797.567,140907.9593,,36,C03,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
141,141,,,,,,,,340750,139998,,,AxeBrueIDB_structures+N,1,22,0.43435816,340750.4062,139997.8463,,37,C05,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
142,142,,,,,,,,339278,140659,,,AxeBrueIDB_structures+N,1,368,0.394984648,339277.8545,140659.3672,,38,C07,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
143,143,,,,,,,,338396,142719,,,AxeBrueIDB_structures+N,1,487,58.57471249,338407.974,142776.3378,,39,C08,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
144,144,,,,,,,,339989,142353,,,AxeBrueIDB_structures+N,1,41,1.131876879,339987.9045,142353.2845,,40,C09,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
145,145,,,,,,,,339535,141790,,,AxeBrueIDB_structures+N,1,122,0.519945089,339534.4832,141789.9425,,41,C10,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
146,146,,,,,,,,336650,142003,,,AxeBrueIDB_structures+N,1,326,3.608491323,336649.2097,141999.4791,,42,C11,Penstock,0,,,0.066,N,"Nearest Polyline, no name check",n/a
147,147,,,,,,,,341044,141073,,,AxeBrueIDB_structures+N,1,286,0.592102492,341044.5819,141072.8906,,43,C12,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
148,148,,,,,,,,339890,142524,,,AxeBrueIDB_structures+N,1,488,60.24875599,339864.0985,142469.6031,,44,C13,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a
149,149,,,,,,,,339426,142427,,,AxeBrueIDB_structures+N,1,122,1.644231945,339425.932,142425.3572,,45,C14,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a
150,150,,,,,,,,339009,141916,,,AxeBrueIDB_structures+N,1,329,29.09867285,339037.34,141909.3987,,46,C15,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a
151,151,,,,,,,,338850,141762,,,AxeBrueIDB_structures+N,1,329,4.371017641,338853.4859,141759.3629,,47,C16,Culvert,0,,,1.169999957,N,"Nearest Polyline, no name check",n/a
152,152,,,,,,,,336686,141997,,,AxeBrueIDB_structures+N,1,326,5.464410697,336684.8494,141991.6581,,48,C17,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a
153,153,,,,,,,,339939,141439,,,AxeBrueIDB_structures+N,1,97,2.068305943,339940.9864,141438.4239,,49,C18,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a
154,154,,,,,,,,339325,141084,,,AxeBrueIDB_structures+N,1,418,1.272047327,339325.2551,141085.2462,,50,C19,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a
155,155,,,,,,,,336545,142016,,,AxeBrueIDB_structures+N,1,326,6.70431136,336546.4684,142022.5415,,51,C20,Culvert,0,,,0.493999988,N,"Nearest Polyline, no name check",n/a
156,156,,,,,,,,340745,139994,,,AxeBrueIDB_structures+N,1,368,0.171097507,340744.9733,139994.169,,52,C21,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
157,157,,,,,,,,339766,141495,,,AxeBrueIDB_structures+N,1,187,1.816426837,339765.4434,141493.271,,53,C22,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a
158,158,,,,,,,,336584,152249,,,AxeBrueIDB_structures+N,1,283,1.364323561,336583.4005,152247.7745,,54,EB01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
159,159,,,,,,,,336665,155295,,,AxeBrueIDB_structures+N,1,104,0.449766922,336665.4407,155294.9104,,55,EB02,Penstock,0,,,0.152999997,N,"Nearest Polyline, no name check",n/a
160,160,,,,,,,,332214,145956,,,AxeBrueIDB_structures+N,1,195,0.064155508,332213.9566,145955.9528,,56,H01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
161,161,,,,,,,,333707,143665,,,AxeBrueIDB_structures+N,1,421,0.278023246,333706.9883,143665.2778,,57,H02,Bund,0,,,0,N,"Nearest Polyline, no name check",n/a
162,162,,,,,,,,331946,146051,,,AxeBrueIDB_structures+N,1,310,0.337696058,331946.159,146051.2979,,58,H03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
163,163,,,,,,,,331718,143946,,,AxeBrueIDB_structures+N,1,310,4.415330675,331722.3343,143945.1578,,59,H05,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
164,164,,,,,,,,331959,146064,,,AxeBrueIDB_structures+N,1,371,0.190693339,331959.0921,146064.167,,60,H06,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
165,165,,,,,,,,330998,146510,,,AxeBrueIDB_structures+N,1,371,0.99381653,330997.6888,146509.0562,,61,H07,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
166,166,,,,,,,,330301,145698,,,AxeBrueIDB_structures+N,1,402,0.287678973,330300.7474,145698.1378,,62,H08,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a
167,167,,,,,,,,330738,145995,,,AxeBrueIDB_structures+N,1,402,0.239436553,330737.8109,145994.8531,,63,H09,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
168,168,,,,,,,,330588,145369,,,AxeBrueIDB_structures+N,1,402,0.412059504,330588.4104,145368.9521,,64,H10,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
169,169,,,,,,,,334569,145618,,,AxeBrueIDB_structures+N,1,333,0.641221929,334569.2218,145618.6016,,65,H11,Penstock,0,,,-1,N,Site outside snap distance,n/a
170,170,,,,,,,,333771,145652,,,AxeBrueIDB_structures+N,1,320,0.356040212,333771.3557,145651.9845,,66,H12,Penstock,0,,,-1,N,Site outside snap distance,n/a
171,171,,,,,,,,336088,142099,,,AxeBrueIDB_structures+N,1,382,0.33701842,336088.08,142099.3274,,67,H14,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
172,172,,,,,,,,331963,142873,,,AxeBrueIDB_structures+N,1,395,0.031757251,331962.9907,142872.9696,,68,H16,Tilting Weir,0,,,7.590000153,N,"Nearest Polyline, no name check",n/a
173,173,,,,,,,,333428,146164,,,AxeBrueIDB_structures+N,1,319,0.026132391,333427.974,146164.0023,,69,H17,Culvert,1,,,0.057999998,N,"Nearest Polyline, no name check",n/a
174,174,,,,,,,,335033,141781,,,AxeBrueIDB_structures+N,1,243,1.163695169,335033.3412,141782.1126,,70,H18,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
175,175,,,,,,,,330646,145752,,,AxeBrueIDB_structures+N,1,402,5.059203753,330646.4814,145746.9637,,71,H21,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
176,176,,,,,,,,333028,146493,,,AxeBrueIDB_structures+N,1,386,0.204717278,333028.0835,146492.8131,,72,H22,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
177,177,,,,,,,,335469,146338,,,AxeBrueIDB_structures+N,1,417,0.741540673,335469.2388,146338.702,,73,H23,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
178,178,,,,,,,,336671,143213,,,AxeBrueIDB_structures+N,1,60,0.842245042,336670.5736,143212.2737,,74,H24,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
179,179,,,,,,,,336013,142316,,,AxeBrueIDB_structures+N,1,382,0.29360298,336012.925,142315.7161,,75,H25,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
180,180,,,,,,,,336300,144613,,,AxeBrueIDB_structures+N,1,723,158.7527465,336416.4205,144720.9291,,76,H26,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
181,181,,,,,,,,335564,143505,,,AxeBrueIDB_structures+N,1,333,0.645930953,335564.6322,143504.8676,,77,H27,Tilting Weir,0,,,-1,N,Site outside snap distance,n/a
182,182,,,,,,,,335419,142386,,,AxeBrueIDB_structures+N,1,382,0.40604681,335418.8885,142385.6096,,78,H28,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
183,183,,,,,,,,332339,142267,,,AxeBrueIDB_structures+N,1,395,0.225910164,332339.2211,142266.9536,,79,H30,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
184,184,,,,,,,,336103,144896,,,AxeBrueIDB_structures+N,1,333,0.436969335,336103.4305,144895.9249,,80,H31,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
185,185,,,,,,,,336059,143678,,,AxeBrueIDB_structures+N,1,333,337.3245975,335781.8205,143870.2483,,81,H32,Weir,0,,,-1,N,Site outside snap distance,n/a
186,186,,,,,,,,332196,146299,,,AxeBrueIDB_structures+N,1,371,0.357878417,332195.7417,146299.2477,,82,H33,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
187,187,,,,,,,,332412,146547,,,AxeBrueIDB_structures+N,1,371,0.075720707,332412.0647,146546.9606,,83,H34,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
188,188,,,,,,,,336241,143295,,,AxeBrueIDB_structures+N,1,1051,101.3402727,336213.5894,143197.4371,,84,H36,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
189,189,,,,,,,,336418,143964,,,AxeBrueIDB_structures+N,1,60,188.8143219,336603.8316,143930.5715,,85,H37,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
190,190,,,,,,,,336532,143638,,,AxeBrueIDB_structures+N,1,60,145.0245454,336675.7693,143618.9606,,86,H38,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
191,191,,,,,,,,336280,143490,,,AxeBrueIDB_structures+N,1,1051,299.6204729,336198.9585,143201.5478,,87,H39,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
192,192,,,,,,,,332472,141775,,,AxeBrueIDB_structures+N,1,250,7.565084061,332470.5994,141782.4343,,88,H40,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
193,193,,,,,,,,331655,144413,,,AxeBrueIDB_structures+N,1,310,2.12179817,331657.1156,144412.8376,,89,H41,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
194,194,,,,,,,,336112,144924,,,AxeBrueIDB_structures+N,1,333,0.015883461,336112.0147,144923.994,,90,H42,Flap valve,0,,,0.368999988,N,"Nearest Polyline, no name check",n/a
195,195,,,,,,,,332917,155818,,,AxeBrueIDB_structures+N,1,299,0.337366451,332917.2871,155818.1772,,91,LY03,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
196,196,,,,,,,,333269,156338,,,AxeBrueIDB_structures+N,1,305,1.017236193,333268.6909,156338.9691,,92,LY04,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
197,197,,,,,,,,337973,148093,,,AxeBrueIDB_structures+N,1,95,0.697164681,337973.6964,148093.0326,,93,M01,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
198,198,,,,,,,,337607,148313,,,AxeBrueIDB_structures+N,1,372,3.563179127,337603.6362,148311.8248,,94,M02,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
199,199,,,,,,,,335947,146619,,,AxeBrueIDB_structures+N,1,425,0.013532531,335947.0093,146618.9902,,95,M03,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
200,200,,,,,,,,337893,147146,,,AxeBrueIDB_structures+N,1,423,1.127170039,337892.2133,147146.8072,,96,M05,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
201,201,,,,,,,,338138,147673,,,AxeBrueIDB_structures+N,1,351,0.334367477,338137.7531,147673.2255,,97,M06,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
202,202,,,,,,,,337663,145254,,,AxeBrueIDB_structures+N,1,409,1.888233074,337662.5706,145252.1612,,98,M08,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
203,203,,,,,,,,337679,147635,,,AxeBrueIDB_structures+N,1,47,0.319052473,337678.9939,147635.319,,99,M09,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
204,204,,,,,,,,336437,145170,,,AxeBrueIDB_structures+N,1,136,0.39947451,336437.389,145169.9092,,100,M10,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
205,205,,,,,,,,338672,145759,,,AxeBrueIDB_structures+N,1,257,0.108357995,338671.9101,145758.9395,,101,M11,Siphon,0,,,0,N,"Nearest Polyline, no name check",n/a
206,206,,,,,,,,338710,146390,,,AxeBrueIDB_structures+N,1,152,0.259316217,338709.7943,146389.8421,,102,M12,Penstock,0,,,11.31599998,Y,"Nearest Polyline, no name check",n/a
207,207,,,,,,,,337387,145340,,,AxeBrueIDB_structures+N,1,379,0.215729425,337386.8123,145339.8937,,103,M13,Penstock,0,,,1.049999952,N,"Nearest Polyline, no name check",n/a
208,208,,,,,,,,337255,145581,,,AxeBrueIDB_structures+N,1,379,0.029169527,337254.9742,145580.9865,,104,M14,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
209,209,,,,,,,,339273,145941,,,AxeBrueIDB_structures+N,1,399,1.390207762,339272.3561,145942.2321,,105,M15,Penstock,0,,,-1,N,Site outside snap distance,n/a
210,210,,,,,,,,338033,147706,,,AxeBrueIDB_structures+N,1,351,0.896452459,338032.1931,147706.3906,,106,M16,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
211,211,,,,,,,,338006,145206,,,AxeBrueIDB_structures+N,1,1130,18.22455348,338017.7035,145192.03,,107,M17,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
212,212,,,,,,,,339257,145972,,,AxeBrueIDB_structures+N,1,399,1.691818646,339257.8728,145970.5507,,108,M18,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
213,213,,,,,,,,335088,146960,,,AxeBrueIDB_structures+N,1,179,2.278934945,335087.1454,146957.8874,,109,M19,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
214,214,,,,,,,,339233,147186,,,AxeBrueIDB_structures+N,1,351,0.941194334,339233.1291,147186.9323,,110,M20,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
215,215,,,,,,,,336799,145134,,,AxeBrueIDB_structures+N,1,1081,21.25206372,336796.7433,145112.8681,,111,M21,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a
216,216,,,,,,,,339810,145185,,,AxeBrueIDB_structures+N,1,1126,232.1363795,340038.8302,145145.9613,,112,M22,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
217,217,,,,,,,,336950,145317,,,AxeBrueIDB_structures+N,1,1081,219.251454,336926.7187,145098.9881,,113,M23,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
218,218,,,,,,,,336266,145627,,,AxeBrueIDB_structures+N,1,136,1.136661842,336265.4711,145625.9939,,114,M24,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
219,219,,,,,,,,336464,145667,,,AxeBrueIDB_structures+N,1,136,135.6839077,336370.6894,145568.4949,,115,M25,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
220,220,,,,,,,,336737,147390,,,AxeBrueIDB_structures+N,1,409,153.004187,336662.2985,147256.4711,,116,M26,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
221,221,,,,,,,,345525,147541,,,AxeBrueIDB_structures+N,1,185,0.496033004,345525.1909,147541.4578,,117,UA01,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
222,222,,,,,,,,345636,148173,,,AxeBrueIDB_structures+N,1,413,4.326004856,345632.85,148170.0349,,118,UA02,Valve (Inlet),0,,,0.078000002,N,"Nearest Polyline, no name check",n/a
223,223,,,,,,,,345909,148049,,,AxeBrueIDB_structures+N,1,360,7.059882641,345903.3343,148044.7879,,119,UA03,Valve (Inlet),0,,,-1,N,Site outside snap distance,n/a
224,224,,,,,,,,346409,147964,,,AxeBrueIDB_structures+N,1,204,7.439786476,346404.2934,147958.2382,,120,UA04,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a
225,225,,,,,,,,347313,145562,,,AxeBrueIDB_structures+N,1,185,4.184605269,347313.1673,145566.1813,,121,UA05,Penstock,1,,,0,N,"Nearest Polyline, no name check",n/a
226,226,,,,,,,,347959,147052,,,AxeBrueIDB_structures+N,1,704,1.720846564,347960.6996,147052.2695,,122,UA06,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a
227,227,,,,,,,,350332,147046,,,AxeBrueIDB_structures+N,1,775,0.099976736,350332.0712,147045.9298,,123,UA07,Valve (Inlet),0,,,5.585999966,N,"Nearest Polyline, no name check",n/a
228,228,,,,,,,,350337,146540,,,AxeBrueIDB_structures+N,1,863,1.919004503,350338.6678,146539.0508,,124,UA08,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
229,229,,,,,,,,350598,145432,,,AxeBrueIDB_structures+N,1,444,0.26920445,350597.9963,145431.7308,,125,UA09,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a
230,230,,,,,,,,349677,145435,,,AxeBrueIDB_structures+N,1,444,0.822969298,349677.4211,145434.2929,,126,UA10,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a
231,231,,,,,,,,349110,145985,,,AxeBrueIDB_structures+N,1,408,2.755357056,349110.3755,145982.2703,,127,UA11,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
232,232,,,,,,,,345571,149518,,,AxeBrueIDB_structures+N,1,118,0.347980892,345571.0692,149518.341,,128,UA12,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
233,233,,,,,,,,345511,150206,,,AxeBrueIDB_structures+N,1,306,0.759525779,345511.3781,150206.6587,,129,UA13,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
234,234,,,,,,,,345435,152743,,,AxeBrueIDB_structures+N,1,108,0.567653849,345434.5783,152742.62,,130,UA14,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a
235,235,,,,,,,,345851,152115,,,AxeBrueIDB_structures+N,1,229,0.948550279,345850.2981,152115.6381,,131,UA15,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
236,236,,,,,,,,343780,151937,,,AxeBrueIDB_structures+N,1,373,0.844045547,343779.1865,151937.2251,,132,UA16,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
237,237,,,,,,,,344330,151187,,,AxeBrueIDB_structures+N,1,306,0.694514974,344330.5064,151186.5247,,133,UA17,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
238,238,,,,,,,,344152,150671,,,AxeBrueIDB_structures+N,1,99,0.145408632,344151.9023,150671.1077,,134,UA18,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a
239,239,,,,,,,,344851,149267,,,AxeBrueIDB_structures+N,1,274,0.305975855,344851.1163,149266.717,,135,UA19,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a
240,240,,,,,,,,343500,151761,,,AxeBrueIDB_structures+N,1,952,8.525175674,343494.0841,151754.8615,,136,UA20,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
241,241,,,,,,,,343094,152110,,,AxeBrueIDB_structures+N,1,346,1.688826959,343095.6805,152110.1675,,137,UA21,Penstock,0,,,0.149000004,Y,"Nearest Polyline, no name check",n/a
242,242,,,,,,,,342375,152373,,,AxeBrueIDB_structures+N,1,346,0.61586234,342375.5487,152373.2796,,138,UA22,Penstock,0,,,4.578999996,N,"Nearest Polyline, no name check",n/a
243,243,,,,,,,,342523,153157,,,AxeBrueIDB_structures+N,1,324,1.117478076,342524.0942,153156.7731,,139,UA23,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a
244,244,,,,,,,,342881,152753,,,AxeBrueIDB_structures+N,1,398,3.931149059,342884.5437,152754.7018,,140,UA24,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a
